자치구,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수
강남구,499,91,1048,948,128.76792700917196,121.37151241100635
강동구,369,21,789,816,99.16119402985075,97.11806484817293
강북구,413,67,1187,1079,133.02037271875173,128.7915035562662
강서구,566,49,867,802,88.11947968826475,87.58759082865856
관악구,466,86,1507,1553,154.75367386953974,157.51603970002628
광진구,269,41,805,747,118.35254616675994,118.52313718737894
구로구,486,79,1166,1033,119.23561485198678,114.14007575574803
금천구,345,58,986,887,123.098370273794,116.7513037809648
노원구,514,57,1021,936,88.47621080015446,87.24516797756235
도봉구,359,46,951,861,106.85935579846064,103.85553974516526
동대문구,306,73,983,890,131.8414299730811,128.692017409243
동작구,438,94,1098,1009,124.2959653841656,119.5714185475383
마포구,562,97,1043,967,103.90763921504563,101.2353433664822
서대문구,456,107,954,916,109.91450155588048,108.66719154200878
서초구,600,93,1195,1038,126.6877774074139,122.41802775389905
성동구,435,58,729,668,96.37736885471024,94.29888766822302
성북구,602,99,1082,977,123.25192197474259,123.14942983062906
송파구,415,55,912,942,114.27007210564693,113.49526047152231
양천구,319,56,783,744,97.62752642088346,93.7800857156772
영등포구,465,101,1011,994,120.33785483668078,121.24640446140299
용산구,323,67,973,911,137.89169354307904,134.48542091752782
은평구,501,71,968,943,106.39517283698098,104.776007363469
종로구,349,106,924,815,131.88962041190373,125.53402787826171
중구,178,103,922,872,121.0201236901977,115.32451052648445
중랑구,380,48,778,708,87.40386255214214,86.2142610218709
